               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13212,            0.051669,                   0,                   0,                   0,                   0,                   0,             0.12452,            0.060016,                   0,              0.0006,              0.0006,              0.0946
                   1,             0.12506,            0.054957,                   0,                   0,                   0,                   0,                   0,             0.12289,            0.062211,                   0,           0.0012936,           0.0012936,            0.088294
